"Komponente","","'=","338 51 Windrichtung WIR °"
"Station","","'=","4453 Heidelberg HD 10 49"
"Aggregation / Periode","","'=","0000000030 30 Minutenwert fest"
"Zeitraum","","'=","Mon Feb 22 00:00:00 CET 2021 Sun Feb 28 23:59:59 CET 2021"


"Stationsnummer","Messstelle","Komponente / Einheit","Datum / Uhrzeit","Wert","Aggregationszeitraum","Aggregationsart"
"4453","Heidelberg","Windrichtung °","2021-02-24 09:30","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 10:00","         161","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 10:30","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 11:00","         170","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 11:30","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 12:00","         159","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 12:30","         151","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 13:00","         188","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 13:30","         186","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 14:00","         191","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 14:30","         210","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 15:00","         225","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 15:30","         197","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 16:00","         182","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 16:30","         180","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 17:00","         152","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 17:30","         150","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 18:00","         118","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 18:30","         168","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 19:00","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 19:30","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 20:00","         163","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 20:30","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 21:00","         168","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 21:30","         162","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 22:00","         170","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 22:30","         170","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 23:00","         168","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 23:30","","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 24:00","         168","30 Minutenwert","Mittelwert (arithm.)"
